URL;Colección;Modelo;Código EAN;Alto con embalaje;Alto de producto;Ancho con embalaje;Ancho de producto;Espesor de producto;Fondo con embalaje;Peso del producto;Acabado;Antihielo;Cobertura;Diseño;Interior/Exterior/Ambos;Material;Rectificado;Unidades del pack;Nota adicional;Declaración de prestaciones (DoP);Antideslizante;Encastrable;Vendido por;Garantía;Normas y certificados;Clasificación PEI;Normas;Marca;Lustre;Efecto;Certificado;Error;Cobertura por paquete (m2);Escala MOHS;Nivel de tránsito
https://www.bricodepot.es/azulejo-ceramico-chalky-gris-mate-20x60cm-5036581066345?queryID=a5c2f55e4a30dc427fb37df132be2b33&objectID=135481&indexName=pro_ES_products;Chalky;;5036581066345;10;20 cm;20 cm;60 cm;8.3 mm;60;22;Mate;No;1.44;Piedra;Interior;Cerámica. Pasta roja. Libre de contaminantes volátiles.;No;12;Se espera cierto grado de variación en el color o en el tono de estos productos. Escoja siempre cajas que tengan el mismo número de referencia, en cuanto a selección y tono, calibre y producción. Es recomendable adquirir un 15 % más de material.;DOP_5036581066345;No;No;Brico Depôt;3 años;;;;Goodhome;;;;;;;
https://www.bricodepot.es/azulejo-porcelanico-blanco-mate-lock-light-decor-30-x-90-cm-8435414120945?queryID=88324e2b550c2b5ab70b001df22496f1&objectID=135488&indexName=pro_ES_products;Lock Light;Lock Minimal Light.;8435414120945;4;30 cm;90.4 cm;90 cm;9 mm;30.4;17;Mate;No;1.08;Cementoso;Interior;"porcelánico; pasta blanca.";Sí;5;Se espera cierto grado de variación en el color o en el tono de estos productos. Escoja siempre cajas que tengan el mismo número de referencia, en cuanto a selección y tono, calibre y producción. Es recomendable adquirir un 15 % más de material.;DoP_8435414120945;No;No;Brico Depôt;3 años;;;;;Mate;;ISO 9001;;;;
https://www.bricodepot.es/azulejo-metal-decor-20x60-cm-5036581065751?queryID=14edd9cb51a058092b4624f4e518a288&objectID=132966&indexName=pro_ES_products;Metal;;5036581065751;10;20 cm;20 cm;60 cm;8 mm;60;1;Mate;No;;Cementoso;Interior;pasta roja;No;12;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_5036581065751;No;No;Brico Depôt;3 años;primera_calidad_ES;PEI2;;;;;;;;;
https://www.bricodepot.es/azulejo-ceramico-beige-mate-travertina-decor-25-x-40-cm-5059340460284?queryID=e0b5cbae6bf3b00014ffc066169f92f6&objectID=136089&indexName=pro_ES_products;Travertina;Travertina Decor;5059340460284;13;25 cm;25 cm;40 cm;3.8 mm;40;22.2;Mate;No;1.4;Piedra;Interior;Cerámico vidriado. Pasta roja.;No;15;Se espera cierto grado de variación en el color o en el tono de estos productos. Escoja siempre cajas que tengan el mismo número de referencia, en cuanto a selección y tono, calibre y producción. Es recomendable adquirir un 15 % más de material.;DOP_5059340460284;No;No;Brico Depôt;3 años;primera_calidad_ES;;EN 14441;;Mate;;;;;;
https://www.bricodepot.es/revestimiento-pasta-blanca-ely-beige-30x90-cm-cooke-lewis-5059340815510?queryID=3e471aa2727865046a4784d5ea8dffaa&objectID=259892&indexName=pro_ES_products;Ely;;5059340815510;5.3;30 cm;30.3 cm;90 cm;;90.3;21.5;Brillo;No;;;Interior;pasta blanca;Sí;;;DOP_ES_PT_5059340815510;No;Sí;Brico Depôt;3 años;;;;Cooke & Lewis;Brillo;Mosaico;;;;;
https://www.bricodepot.es/azulejo-metal-20x60-cm-5036581065744?queryID=2aee13f6282eaebf7f1529d86b8631af&objectID=132965&indexName=pro_ES_products;Metal;;5036581065744;10;20 cm;20 cm;60 cm;8 mm;60;1;Mate;No;;Cementoso;Interior;pasta roja;No;12;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_5036581065744;No;No;Brico Depôt;3 años;primera_calidad_ES;PEI2;;;;;;;;;
https://www.bricodepot.es/azulejo-ceramico-beige-mate-travertina-25-x-40-cm-5059340460277?queryID=5630dc4a3e7dfc5b7c4b1af0109d22f4&objectID=136088&indexName=pro_ES_products;Travertina;Travertina;5059340460277;13;25 cm;25 cm;40 cm;3.8 mm;40;22.2;Mate;No;1.4;Piedra;Interior;Cerámico vidriado. Pasta roja.;No;15;Se espera cierto grado de variación en el color o en el tono de estos productos. Escoja siempre cajas que tengan el mismo número de referencia, en cuanto a selección y tono, calibre y producción. Es recomendable adquirir un 15 % más de material.;DOP_5059340460277;No;No;Brico Depôt;3 años;primera_calidad_ES;;;;Mate;;;;;;
https://www.bricodepot.es/azulejo-ely-gris-mate-30x90-cm-5059340781969?queryID=dac5ddf26d5391a0a66f02b73d89386c&objectID=246487&indexName=pro_ES_products;Cemento;Ely;5059340781969;4.8;30 cm;90.4 cm;90 cm;8.7 mm;30.4;22;Mate;No;1.35;Cementoso;Interior;"porcelánico; pasta blanca.";Sí;5;Se espera cierto grado de variación en el color o en el tono de estos productos. Escoja siempre cajas que tengan el mismo número de referencia, en cuanto a selección y tono, calibre y producción. Es recomendable adquirir un 15 % más de material.;DOP_ES_PT_5059340781969;No;No;Brico Depôt;3 años;;;;;Mate;;ISO 9001;;;;
https://www.bricodepot.es/revestimiento-pasta-blanca-pantin-gris-30x60-cm-8429991787714?queryID=650cbed7f6289ad855a85fbe7a370a61&objectID=259896&indexName=pro_ES_products;Pantin;;8429991787714;7;30 cm;30.5 cm;60 cm;;60.5;21.5;Mate;No;;;Interior;pasta blanca;Sí;;;;No;Sí;Brico Depôt;3 años;;;;;Mate;Cemento;;;;;
https://www.bricodepot.es/revestimiento-pasta-blanca-pantin-mud-30x60-cm-8429991787707?queryID=57542f9050cba346fe16912883f3eb3f&objectID=259899&indexName=pro_ES_products;Pantin;;8429991787707;7;30 cm;30.5 cm;60 cm;;60.5;21.5;Mate;No;;;Interior;pasta blanca;Sí;;;;No;Sí;Brico Depôt;3 años;;;;;Mate;Cemento;;;;;
https://www.bricodepot.es/azulejo-ceramico-gris-mate-kofrage-20-x-60-cm-5036581066390-1?queryID=783a4ab0e6f0124b4a380223d38c06d3&objectID=135484&indexName=pro_ES_products;Kofrage;;5036581066406;10;20 cm;20 cm;60 cm;8.3 mm;60;22;Mate;No;1.44;Cementoso;Interior;Pasta roja;No;12;Se espera cierto grado de variación en el color o en el tono de estos productos. Escoja siempre cajas que tengan el mismo número de referencia, en cuanto a selección y tono, calibre y producción. Es recomendable adquirir un 15 % más de material.;DOP_5036581066406;No;No;Brico Depôt;3 años;;;;Goodhome;Mate;;;;;;
https://www.bricodepot.es/azulejo-textile-decor-20-x-60-cm-5036581065775?queryID=b255669155857ed6efd5791eeec36cb0&objectID=132968&indexName=pro_ES_products;Textile;;5036581065775;10;20 cm;20 cm;60 cm;8 mm;60;1;Mate;No;;Cementoso;Interior;pasta roja;No;12;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_5036581065775;No;No;Brico Depôt;3 años;primera_calidad_ES;PEI2;;;;;;;;;
https://www.bricodepot.es/azulejo-bayaz-mosaico-gris-8435433544142?queryID=e47b3a5d87dc65f1ab56dba2596f19f7&objectID=133061&indexName=pro_ES_products;Bayaz;;8435433544142;15;25 cm;40 cm;50 cm;;40;27;;No;;Cementoso;Interior;;No;;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_PT_8435433544142;No;No;Brico Depôt;3 años;;;;;;;;;;;
https://www.bricodepot.es/azulejo-bayaz-mosaico-beige-8435433544173?queryID=1d6fc3bddc77f76d52d559970194a6c2&objectID=133062&indexName=pro_ES_products;Bayaz;;8435433544173;15;25 cm;40 cm;50 cm;;40;27;;No;;Cementoso;Interior;;No;;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_PT_8435433544173;No;No;Brico Depôt;3 años;;;;;;;;;;;
https://www.bricodepot.es/azulejo-textile-20-x-60-cm-5036581065768?queryID=33c21d983d424df55b458e5a1da82142&objectID=132967&indexName=pro_ES_products;Textile;;5036581065768;10;20 cm;20 cm;60 cm;8 mm;60;1;Mate;No;;Cementoso;Interior;pasta roja;No;12;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_5036581065768;No;No;Brico Depôt;3 años;primera_calidad_ES;PEI2;;;;;;;;;
https://www.bricodepot.es/azulejo-bayaz-gris-8435433542377?queryID=f34713a7de6c9e801131d19a8e80fb7e&objectID=133059&indexName=pro_ES_products;Bayaz;;8435433542377;40;25 cm;40 cm;50 cm;;15;27;;No;;Cementoso;Interior;;No;;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_PT_8435433542377;No;No;Brico Depôt;3 años;;;;;;;;;;;
https://www.bricodepot.es/azulejo-bayaz-beige-8435433542438?queryID=4835ef3b5ddad46959152a3561ca75af&objectID=133060&indexName=pro_ES_products;Bayaz;;8435433542438;40;25 cm;40 cm;50 cm;;15;27;;No;;Cementoso;Interior;;No;;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_PT_8435433542438;No;No;Brico Depôt;3 años;;;;;;;;;;;
https://www.bricodepot.es/azulejo-konkrete-blanco-negro-decor-20x60-cm-5036581089566?queryID=146d553b2dcd82ea694e2c303406ae12&objectID=132976&indexName=pro_ES_products;Konkrete;;5036581089566;10;20 cm;20 cm;60 cm;8 mm;60;22.35;Mate;No;;Cementoso;Interior;pasta roja;No;12;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_5036581089566;No;No;Brico Depôt;3 años;primera_calidad_ES;PEI2;;;;;;;;;
https://www.bricodepot.es/azulejo-konkrete-multicolor-20x60-cm-5036581089559?queryID=a6cb2ff007163bc2db7404586e41576e&objectID=132975&indexName=pro_ES_products;Konkrete;;5036581089559;10;20 cm;20 cm;60 cm;8 mm;60;22.35;Mate;No;;Cementoso;Interior;pasta roja;No;12;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_5036581089559;No;No;Brico Depôt;3 años;primera_calidad_ES;PEI2;;;;;;;;;
https://www.bricodepot.es/azulejo-caliste-gris-25x40-cm-5059340460215?queryID=1d9ce9cfd1fa568c55861db01c9d9f4f&objectID=246474&indexName=pro_ES_products;Cemento;Caliste;5059340460215;15;25 cm;40 cm;40 cm;8 mm;40;1;Mate;No;;Diseño cementoso;Interior;pasta roja;Sí;15;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_ES_PT_5059340460215;No;No;Brico Depôt;3 años;;PEI2;;;;;;;;;
https://www.bricodepot.es/azulejo-konkrete-mureto-gris-20x60-cm-5036581089597?queryID=f3391f59d39add360d722b46e0463e27&objectID=132978&indexName=pro_ES_products;Konkrete;;5036581089597;10;20 cm;20 cm;60 cm;8 mm;60;22.35;Mate;No;;Cementoso;Interior;pasta roja;No;12;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_5036581089597;No;No;Brico Depôt;3 años;primera_calidad_ES;PEI2;;;;;;;;;
https://www.bricodepot.es/azulejo-konkrete-mureto-marfil-decor-20x60-cm-5036581089580?queryID=b521c78ee2c90db8c3d65c4ed0d41f02&objectID=132977&indexName=pro_ES_products;Konkrete;;5036581089580;10;20 cm;20 cm;60 cm;8 mm;60;1;Mate;No;;Cementoso;Interior;pasta roja;No;12;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_5036581089580;No;No;Brico Depôt;3 años;primera_calidad_ES;PEI2;;;;;;;;;
